,name,price,region,power,volume,transmission,wheel_drive
846,  Honda CR-V 2021  ,    37 911 $    ,Дніпро (Дніпропетровськ) ,193.0,1.5,Варіатор,Повний
847,  Skoda Superb 2022  ,    51 586 $    ,Хмельницький ,190.0,2.0,Роботизована,Передній
848,  Honda CR-V 2021  ,    34 909 $    ,Дніпро (Дніпропетровськ) ,193.0,1.5,Варіатор,Повний
849,  Honda CR-V 2021  ,    34 909 $    ,Дніпро (Дніпропетровськ) ,193.0,1.5,Варіатор,Повний
850,  Renault Express 2022  ,    18 446 $    ,Рівне ,95.0,1.5,Механічна,Передній
851,  Volkswagen T-Roc 2021  ,    30 630 $    ,Чернівці ,150.0,1.5,Автомат,Передній
852,  Volkswagen T-Roc 2021  ,    29 205 $    ,Полтава ,150.0,1.5,Автомат,Передній
853,  Renault Express Van 2021  ,    15 051 $    ,Рівне ,110.0,1.6,Механічна,Передній
854,  Skoda Kamiq 2022  ,    22 361 $    ,Полтава ,110.0,1.6,Автомат,Передній
855,  Nissan X-Trail 2021  ,    30 594 $    ,Київ ,171.0,2.5,Варіатор,Повний
856,  Hyundai Tucson 2022  ,    33 603 $    ,Рівне ,136.0,1.6,Роботизована,Передній
857,  Renault Express Van 2022  ,    16 586 $    ,Рівне ,95.0,1.5,Механічна,Передній
858,  Hyundai i30 2022  ,    20 257 $    ,Рівне ,110.0,1.5,Механічна,Передній
859,  Mazda CX-9 2021  ,    51 662 $    ,Дніпро (Дніпропетровськ) ,231.0,2.5,Автомат,Повний
860,  Mitsubishi Outlander 2021  ,    31 724 $    ,Полтава ,167.0,2.4,Варіатор,Повний
861,  Mercedes-Benz S-Class 2021  ,    195 000 $    ,Одеса ,435.0,,Автомат,Повний
862,  Renault Duster 2022  ,    16 753 $    ,Луцьк ,110.0,1.5,Механічна,Передній
863,  Porsche Taycan 2021  ,    136 566 $    ,Дніпро (Дніпропетровськ) ,530.0,,Автомат,Повний
864,  BMW iX3 2021  ,    63 051 $    ,Івано-Франківськ ,286.0,,Автомат,
865,  Fiat 500 2021  ,    14 237 $    ,Рівне ,69.0,1.2,Роботизована,Передній
866,  Volkswagen Touareg 2021  ,    82 000 $    ,Полтава ,286.0,3.0,Автомат,Повний
867,  Mazda 6 2021  ,    32 188 $    ,Дніпро (Дніпропетровськ) ,231.0,2.5,Автомат,Передній
868,  Volkswagen Arteon 2021  ,    55 500 $    ,Чернівці ,200.0,2.0,Автомат,Повний
869,  Porsche Taycan 2021  ,    121 489 $    ,Дніпро (Дніпропетровськ) ,600.0,,Автомат,
870,  Skoda Kamiq 2022  ,    22 833 $    ,Хмельницький ,110.0,1.6,Механічна,Передній
871,  Skoda Kodiaq 2022  ,    50 801 $    ,Полтава ,200.0,2.0,Роботизована,Повний
872,  Mazda CX-9 2021  ,    38 573 $    ,Вінниця ,231.0,2.5,Автомат,Повний
